# Combat values snapshot, regenerated 2026-09-01 from the live CDOs. The assets stay authoritative: the asset wins over this file, and this file wins over a number in prose.
# Regenerate with the editor open: "C:/Program Files (x86)/UE_5.8/Engine/Binaries/ThirdParty/Python3/Win64/python.exe" Tools/AnimPipeline/run-in-editor.py Tools/ValuesSnapshot/ue_values_snapshot.py
Object	Property	Value
ATDPlayerState	AbilitySystemComponent	/Script/TheDream.Default__TDPlayerState:AbilitySystemComponent
BP_PlayerCharacter	AbilityInputActions	{"/Script/EnhancedInput.InputAction'/Game/TheDream/Combat/Input/IA_Attack.IA_Attack'": {}, "/Script/EnhancedInput.InputAction'/Game/TheDream/Combat/Input/IA_Dodge.IA_Dodge'": {}, "/Script/EnhancedInput.InputAction'/Game/TheDream/Combat/Input/IA_Block.IA_Block'": {}, "/Script/EnhancedInput.InputAction'/Game/TheDream/Combat/Input/IA_Parry.IA_Parry'": {}, "/Script/EnhancedInput.InputAction'/Game/Input/Actions/IA_Jump.IA_Jump'": {}}
BP_PlayerCharacter	BlockDrainPerSecond	10
BP_PlayerCharacter	BlockInitialStaminaCost	10
BP_PlayerCharacter	BlockingMaxWalkSpeed	125
BP_PlayerCharacter	BlockingTag	State.Blocking
BP_PlayerCharacter	BlockstunTellPortionSeconds	0.485
BP_PlayerCharacter	CoilTurnRateDegrees	600
BP_PlayerCharacter	DeathImpulseLift	0.35
BP_PlayerCharacter	DeathImpulseStrength	30000
BP_PlayerCharacter	DebugAutoAttackFacingMode	NEVER: 0>
BP_PlayerCharacter	DebugAutoAttackHoldSeconds	0.1
BP_PlayerCharacter	DebugAutoAttackInputTag	None
BP_PlayerCharacter	DebugAutoAttackInterval	3
BP_PlayerCharacter	DebugAutoAttackResetDelaySeconds	0.35
BP_PlayerCharacter	DebugAutoAttackStringTapIntervalSeconds	0.25
BP_PlayerCharacter	DebugAutoAttackStringTaps	1
BP_PlayerCharacter	DebugAutoDefendMode	OFF: 0>
BP_PlayerCharacter	DebugAutoReviveSeconds	3
BP_PlayerCharacter	DebugCancelAfterPressSeconds	0.1
BP_PlayerCharacter	DebugDefendBlockInputTag	None
BP_PlayerCharacter	DebugDefendDodgeInputTag	None
BP_PlayerCharacter	DebugDefendParryInputTag	None
BP_PlayerCharacter	DebugDodgeIntervalSeconds	1.9
BP_PlayerCharacter	DebugGetUpDelaySeconds	0.05
BP_PlayerCharacter	DebugGetUpMode	WAIT: 0>
BP_PlayerCharacter	DebugJumpInputTag	InputTag.Jump
BP_PlayerCharacter	DebugJumpIntervalSeconds	1.3
BP_PlayerCharacter	DebugParryIntervalSeconds	1.7
BP_PlayerCharacter	DebugParryPreBlockSeconds	0
BP_PlayerCharacter	DefaultAbilities[0]	/Game/TheDream/Combat/Abilities/GA_Attack.GA_Attack_C
BP_PlayerCharacter	DefaultAbilities[1]	/Game/TheDream/Combat/Abilities/GA_Dodge.GA_Dodge_C
BP_PlayerCharacter	DefaultAbilities[2]	/Game/TheDream/Combat/Abilities/GA_Block.GA_Block_C
BP_PlayerCharacter	DefaultAbilities[3]	/Game/TheDream/Combat/Abilities/GA_Parry.GA_Parry_C
BP_PlayerCharacter	DefaultAbilities[4]	/Game/TheDream/Combat/Abilities/GA_Jump.GA_Jump_C
BP_PlayerCharacter	DefaultAbilities[5]	/Game/TheDream/Combat/Abilities/GA_GetUpAttack.GA_GetUpAttack_C
BP_PlayerCharacter	ExhaustedMaxWalkSpeed	400
BP_PlayerCharacter	ExhaustedStaminaRegenPerSecond	25
BP_PlayerCharacter	ExhaustedTag	State.Exhausted
BP_PlayerCharacter	ForcedFacingTurnRateDegrees	720
BP_PlayerCharacter	GuardBreakStunSeconds	1
BP_PlayerCharacter	HitstunTellPacingCurve	/Game/TheDream/Combat/Data/C_HitstunTellPacing.C_HitstunTellPacing
BP_PlayerCharacter	HitstunTellPortionSeconds	0.684
BP_PlayerCharacter	IdleTurnRateDegrees	300
BP_PlayerCharacter	InputBufferSeconds	0.2
BP_PlayerCharacter	JumpRegenPauseSeconds	0.5
BP_PlayerCharacter	KnockdownCarrySettleSeconds	0.16
BP_PlayerCharacter	KnockdownFallClipSeconds	0.8
BP_PlayerCharacter	KnockdownFallClipStartSeconds	0
BP_PlayerCharacter	KnockdownFallPathOffsetCurve	/Game/TheDream/Combat/Data/C_KnockdownArc.C_KnockdownArc
BP_PlayerCharacter	KnockdownFallSeconds	0.5
BP_PlayerCharacter	KnockdownFallTimeMappingCurve	/Game/TheDream/Combat/Data/C_KnockdownCarry.C_KnockdownCarry
BP_PlayerCharacter	KnockdownInputWindowSecondsHard	0.5
BP_PlayerCharacter	KnockdownInputWindowSecondsNormal	1
BP_PlayerCharacter	KnockdownLockoutSecondsHard	1.5
BP_PlayerCharacter	KnockdownLockoutSecondsNormal	1
BP_PlayerCharacter	KnockdownMontage	/Game/TheDream/Combat/Animations/AM_Knockdown.AM_Knockdown
BP_PlayerCharacter	KnockdownRiseSeconds	0.5
BP_PlayerCharacter	KnockdownSpacingCm	450
BP_PlayerCharacter	MinimumBlockSeconds	0.25
BP_PlayerCharacter	OwnedAbilitySystemComponent	/Game/TheDream/Combat/Characters/BP_PlayerCharacter.Default__BP_PlayerCharacter_C:AbilitySystemComponent
BP_PlayerCharacter	ParryGraceSeconds	0.15
BP_PlayerCharacter	ParryLockoutTellPortionSeconds	0.684
BP_PlayerCharacter	ParryStaminaReward	25
BP_PlayerCharacter	RiseHardMontage	/Game/TheDream/Combat/Animations/AM_RiseHard.AM_RiseHard
BP_PlayerCharacter	RiseMontage	/Game/TheDream/Combat/Animations/AM_Rise.AM_Rise
BP_PlayerCharacter	ShieldMesh	/Game/TheDream/Combat/Characters/BP_PlayerCharacter.Default__BP_PlayerCharacter_C:ShieldMesh
BP_PlayerCharacter	StaminaRegenPauseSeconds	0.5
BP_PlayerCharacter	StaminaRegenPausedTag	State.StaminaRegenPaused
BP_PlayerCharacter	StaminaRegenPerSecond	40
BP_PlayerCharacter	StartingMaxHealth	100
BP_PlayerCharacter	StartingMaxStamina	100
BP_PlayerCharacter	TurnRateDegrees	1200
BP_PlayerCharacter	WeaponMesh	/Game/TheDream/Combat/Characters/BP_PlayerCharacter.Default__BP_PlayerCharacter_C:WeaponMesh
BP_PlayerCharacter	bDebugAutoAttack	false
BP_PlayerCharacter	bDebugAutoAttackHomeBetweenAttacks	false
BP_PlayerCharacter	bDebugAutoAttackResetPosition	true
BP_PlayerCharacter	bDebugAutoAttackRotateTargets	false
BP_PlayerCharacter	bDebugCancelAttackIntoBlock	false
BP_PlayerCharacter	bDebugDodgeAfterHit	false
BP_PlayerCharacter	bDebugHomeAtStand	true
BP_PlayerCharacter	bDebugPeriodicJump	false
BP_PlayerCharacter	bDebugSuppressLunge	false
BP_PlayerCharacter	bRagdollOnDeath	true
BP_TrainingDummy	AbilityInputActions	{}
BP_TrainingDummy	BlockDrainPerSecond	10
BP_TrainingDummy	BlockInitialStaminaCost	10
BP_TrainingDummy	BlockingMaxWalkSpeed	125
BP_TrainingDummy	BlockingTag	State.Blocking
BP_TrainingDummy	BlockstunTellPortionSeconds	0.485
BP_TrainingDummy	CoilTurnRateDegrees	600
BP_TrainingDummy	DeathImpulseLift	0.35
BP_TrainingDummy	DeathImpulseStrength	30000
BP_TrainingDummy	DebugAutoAttackFacingMode	WHILE_ATTACKING: 1>
BP_TrainingDummy	DebugAutoAttackHoldSeconds	0.1
BP_TrainingDummy	DebugAutoAttackInputTag	InputTag.Attack
BP_TrainingDummy	DebugAutoAttackInterval	3
BP_TrainingDummy	DebugAutoAttackResetDelaySeconds	0.35
BP_TrainingDummy	DebugAutoAttackStringTapIntervalSeconds	0.25
BP_TrainingDummy	DebugAutoAttackStringTaps	1
BP_TrainingDummy	DebugAutoDefendMode	OFF: 0>
BP_TrainingDummy	DebugAutoReviveSeconds	3
BP_TrainingDummy	DebugCancelAfterPressSeconds	0.1
BP_TrainingDummy	DebugDefendBlockInputTag	InputTag.Block
BP_TrainingDummy	DebugDefendDodgeInputTag	InputTag.Dodge
BP_TrainingDummy	DebugDefendParryInputTag	InputTag.Parry
BP_TrainingDummy	DebugDodgeIntervalSeconds	1.9
BP_TrainingDummy	DebugGetUpDelaySeconds	0.05
BP_TrainingDummy	DebugGetUpMode	WAIT: 0>
BP_TrainingDummy	DebugJumpInputTag	InputTag.Jump
BP_TrainingDummy	DebugJumpIntervalSeconds	1.3
BP_TrainingDummy	DebugParryIntervalSeconds	1.7
BP_TrainingDummy	DebugParryPreBlockSeconds	0
BP_TrainingDummy	DefaultAbilities[0]	/Game/TheDream/Combat/Abilities/GA_Attack.GA_Attack_C
BP_TrainingDummy	DefaultAbilities[1]	/Game/TheDream/Combat/Abilities/GA_Block.GA_Block_C
BP_TrainingDummy	DefaultAbilities[2]	/Game/TheDream/Combat/Abilities/GA_Dodge.GA_Dodge_C
BP_TrainingDummy	DefaultAbilities[3]	/Game/TheDream/Combat/Abilities/GA_Parry.GA_Parry_C
BP_TrainingDummy	DefaultAbilities[4]	/Game/TheDream/Combat/Abilities/GA_Jump.GA_Jump_C
BP_TrainingDummy	DefaultAbilities[5]	/Game/TheDream/Combat/Abilities/GA_GetUpAttack.GA_GetUpAttack_C
BP_TrainingDummy	ExhaustedMaxWalkSpeed	400
BP_TrainingDummy	ExhaustedStaminaRegenPerSecond	25
BP_TrainingDummy	ExhaustedTag	State.Exhausted
BP_TrainingDummy	ForcedFacingTurnRateDegrees	720
BP_TrainingDummy	GuardBreakStunSeconds	1
BP_TrainingDummy	HitstunTellPacingCurve	/Game/TheDream/Combat/Data/C_HitstunTellPacing.C_HitstunTellPacing
BP_TrainingDummy	HitstunTellPortionSeconds	0.684
BP_TrainingDummy	IdleTurnRateDegrees	300
BP_TrainingDummy	InputBufferSeconds	0.2
BP_TrainingDummy	JumpRegenPauseSeconds	0.5
BP_TrainingDummy	KnockdownCarrySettleSeconds	0.16
BP_TrainingDummy	KnockdownFallClipSeconds	0.8
BP_TrainingDummy	KnockdownFallClipStartSeconds	0
BP_TrainingDummy	KnockdownFallPathOffsetCurve	/Game/TheDream/Combat/Data/C_KnockdownArc.C_KnockdownArc
BP_TrainingDummy	KnockdownFallSeconds	0.5
BP_TrainingDummy	KnockdownFallTimeMappingCurve	/Game/TheDream/Combat/Data/C_KnockdownCarry.C_KnockdownCarry
BP_TrainingDummy	KnockdownInputWindowSecondsHard	0.5
BP_TrainingDummy	KnockdownInputWindowSecondsNormal	1
BP_TrainingDummy	KnockdownLockoutSecondsHard	1.5
BP_TrainingDummy	KnockdownLockoutSecondsNormal	1
BP_TrainingDummy	KnockdownMontage	/Game/TheDream/Combat/Animations/AM_Knockdown.AM_Knockdown
BP_TrainingDummy	KnockdownRiseSeconds	0.5
BP_TrainingDummy	KnockdownSpacingCm	450
BP_TrainingDummy	MinimumBlockSeconds	0.25
BP_TrainingDummy	OwnedAbilitySystemComponent	/Game/TheDream/Combat/Characters/BP_TrainingDummy.Default__BP_TrainingDummy_C:AbilitySystemComponent
BP_TrainingDummy	ParryGraceSeconds	0.15
BP_TrainingDummy	ParryLockoutTellPortionSeconds	0.684
BP_TrainingDummy	ParryStaminaReward	25
BP_TrainingDummy	RiseHardMontage	/Game/TheDream/Combat/Animations/AM_RiseHard.AM_RiseHard
BP_TrainingDummy	RiseMontage	/Game/TheDream/Combat/Animations/AM_Rise.AM_Rise
BP_TrainingDummy	ShieldMesh	/Game/TheDream/Combat/Characters/BP_TrainingDummy.Default__BP_TrainingDummy_C:ShieldMesh
BP_TrainingDummy	StaminaRegenPauseSeconds	0.5
BP_TrainingDummy	StaminaRegenPausedTag	State.StaminaRegenPaused
BP_TrainingDummy	StaminaRegenPerSecond	40
BP_TrainingDummy	StartingMaxHealth	100
BP_TrainingDummy	StartingMaxStamina	100
BP_TrainingDummy	TurnRateDegrees	1200
BP_TrainingDummy	WeaponMesh	/Game/TheDream/Combat/Characters/BP_TrainingDummy.Default__BP_TrainingDummy_C:WeaponMesh
BP_TrainingDummy	bDebugAutoAttack	true
BP_TrainingDummy	bDebugAutoAttackHomeBetweenAttacks	false
BP_TrainingDummy	bDebugAutoAttackResetPosition	true
BP_TrainingDummy	bDebugAutoAttackRotateTargets	false
BP_TrainingDummy	bDebugCancelAttackIntoBlock	false
BP_TrainingDummy	bDebugDodgeAfterHit	false
BP_TrainingDummy	bDebugHomeAtStand	true
BP_TrainingDummy	bDebugPeriodicJump	false
BP_TrainingDummy	bDebugSuppressLunge	false
BP_TrainingDummy	bRagdollOnDeath	true
GA_Attack	AimAssistMarginCm	100
GA_Attack	AttackMontage	/Game/TheDream/Combat/Animations/AM_Attack.AM_Attack
GA_Attack	BlockedSpacingCm	225
GA_Attack	BlockstunSeconds	0.3
GA_Attack	Branches[0].AimAssistWedge.ArcCentreDegrees	0
GA_Attack	Branches[0].AimAssistWedge.ArcDegrees	40
GA_Attack	Branches[0].AimAssistWedge.HeightMaxCm	70
GA_Attack	Branches[0].AimAssistWedge.HeightMinCm	-70
GA_Attack	Branches[0].AimAssistWedge.bEnabled	true
GA_Attack	Branches[0].AttackTag	Ability.Attack.Light
GA_Attack	Branches[0].BlockstunSeconds	0.35
GA_Attack	Branches[0].Damage	15
GA_Attack	Branches[0].Hitboxes[0].ArcCentreDegrees	0
GA_Attack	Branches[0].Hitboxes[0].ArcDegrees	60
GA_Attack	Branches[0].Hitboxes[0].HeightMaxCm	70
GA_Attack	Branches[0].Hitboxes[0].HeightMinCm	-70
GA_Attack	Branches[0].Hitboxes[0].MaxReachCm	150
GA_Attack	Branches[0].Hitboxes[0].MinReachCm	0
GA_Attack	Branches[0].HitstunSeconds	0.55
GA_Attack	Branches[0].HoldUntilSeconds	0.15
GA_Attack	Branches[0].KnockdownType	NONE: 0>
GA_Attack	Branches[0].LungeDistanceCm	200
GA_Attack	Branches[0].LungeDurationSeconds	0.12
GA_Attack	Branches[0].LungeStrengthCurve	None
GA_Attack	Branches[0].MontageSection	None
GA_Attack	Branches[0].ParryLockoutSeconds	0.75
GA_Attack	Branches[0].RecoverySeconds	0.6
GA_Attack	Branches[0].ReleaseAtSeconds	0.2
GA_Attack	Branches[0].ReleaseSeconds	0.15
GA_Attack	Branches[0].StaminaDamage	5
GA_Attack	Branches[0].bChainsIntoString	true
GA_Attack	Branches[1].AimAssistWedge.ArcCentreDegrees	0
GA_Attack	Branches[1].AimAssistWedge.ArcDegrees	40
GA_Attack	Branches[1].AimAssistWedge.HeightMaxCm	70
GA_Attack	Branches[1].AimAssistWedge.HeightMinCm	-70
GA_Attack	Branches[1].AimAssistWedge.bEnabled	true
GA_Attack	Branches[1].AttackTag	Ability.Attack.Heavy
GA_Attack	Branches[1].BlockstunSeconds	0.6
GA_Attack	Branches[1].Damage	25
GA_Attack	Branches[1].Hitboxes[0].ArcCentreDegrees	0
GA_Attack	Branches[1].Hitboxes[0].ArcDegrees	60
